INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "1572359"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.306786, acc = 0.1016:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.373159, acc = 0.1133:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.373159, acc = 0.1133:   1%|          | 2/391 [00:00<00:30, 12.58it/s]
Epoch 0 train | loss = 2.350528, acc = 0.1146:   1%|          | 2/391 [00:00<00:30, 12.58it/s]
Epoch 0 train | loss = 2.336518, acc = 0.1152:   1%|          | 2/391 [00:00<00:30, 12.58it/s]
Epoch 0 train | loss = 2.336518, acc = 0.1152:   1%|          | 4/391 [00:00<00:28, 13.39it/s]
Epoch 0 train | loss = 2.318700, acc = 0.1187:   1%|          | 4/391 [00:00<00:28, 13.39it/s]
Epoch 0 train | loss = 2.289502, acc = 0.1276:   1%|          | 4/391 [00:00<00:28, 13.39it/s]
Epoch 0 train | loss = 2.289502, acc = 0.1276:   2%|▏         | 6/391 [00:00<00:27, 13.96it/s]
Epoch 0 train | loss = 2.268338, acc = 0.1373:   2%|▏         | 6/391 [00:00<00:27, 13.96it/s]
Epoch 0 train | loss = 2.265322, acc = 0.1396:   2%|▏         | 6/391 [00:00<00:27, 13.96it/s]
Epoch 0 train | loss = 2.265322, acc = 0.1396:   2%|▏         | 8/391 [00:00<00:26, 14.37it/s]
Epoch 0 train | loss = 2.247745, acc = 0.1406:   2%|▏         | 8/391 [00:00<00:26, 14.37it/s]
Epoch 0 train | loss = 2.233592, acc = 0.1461:   2%|▏         | 8/391 [00:00<00:26, 14.37it/s]
Epoch 0 train | loss = 2.233592, acc = 0.1461:   3%|▎         | 10/391 [00:00<00:25, 14.72it/s]
Epoch 0 train | loss = 2.236394, acc = 0.1506:   3%|▎         | 10/391 [00:00<00:25, 14.72it/s]
Epoch 0 train | loss = 2.233065, acc = 0.1510:   3%|▎         | 10/391 [00:00<00:25, 14.72it/s]
Epoch 0 train | loss = 2.233065, acc = 0.1510:   3%|▎         | 12/391 [00:00<00:25, 15.00it/s]
Epoch 0 train | loss = 2.222024, acc = 0.1514:   3%|▎         | 12/391 [00:00<00:25, 15.00it/s]
Epoch 0 train | loss = 2.212799, acc = 0.1523:   3%|▎         | 12/391 [00:00<00:25, 15.00it/s]
Epoch 0 train | loss = 2.212799, acc = 0.1523:   4%|▎         | 14/391 [00:00<00:24, 15.21it/s]
Epoch 0 train | loss = 2.201324, acc = 0.1573:   4%|▎         | 14/391 [00:00<00:24, 15.21it/s]
Epoch 0 train | loss = 2.188811, acc = 0.1592:   4%|▎         | 14/391 [00:01<00:24, 15.21it/s]
Epoch 0 train | loss = 2.188811, acc = 0.1592:   4%|▍         | 16/391 [00:01<00:24, 15.34it/s]
Epoch 0 train | loss = 2.189509, acc = 0.1608:   4%|▍         | 16/391 [00:01<00:24, 15.34it/s]
Epoch 0 train | loss = 2.185262, acc = 0.1645:   4%|▍         | 16/391 [00:01<00:24, 15.34it/s]
Epoch 0 train | loss = 2.185262, acc = 0.1645:   5%|▍         | 18/391 [00:01<00:24, 15.27it/s]
Epoch 0 train | loss = 2.185902, acc = 0.1657:   5%|▍         | 18/391 [00:01<00:24, 15.27it/s]
Epoch 0 train | loss = 2.185043, acc = 0.1629:   5%|▍         | 18/391 [00:01<00:24, 15.27it/s]
Epoch 0 train | loss = 2.185043, acc = 0.1629:   5%|▌         | 20/391 [00:01<00:24, 15.20it/s]
Epoch 0 train | loss = 2.178069, acc = 0.1641:   5%|▌         | 20/391 [00:01<00:24, 15.20it/s]
Epoch 0 train | loss = 2.174670, acc = 0.1630:   5%|▌         | 20/391 [00:01<00:24, 15.20it/s]
Epoch 0 train | loss = 2.174670, acc = 0.1630:   6%|▌         | 22/391 [00:01<00:24, 15.35it/s]
Epoch 0 train | loss = 2.169431, acc = 0.1641:   6%|▌         | 22/391 [00:01<00:24, 15.35it/s]
Epoch 0 train | loss = 2.163489, acc = 0.1667:   6%|▌         | 22/391 [00:01<00:24, 15.35it/s]
Epoch 0 train | loss = 2.163489, acc = 0.1667:   6%|▌         | 24/391 [00:01<00:23, 15.47it/s]
Epoch 0 train | loss = 2.159750, acc = 0.1678:   6%|▌         | 24/391 [00:01<00:23, 15.47it/s]
Epoch 0 train | loss = 2.153678, acc = 0.1716:   6%|▌         | 24/391 [00:01<00:23, 15.47it/s]
Epoch 0 train | loss = 2.153678, acc = 0.1716:   7%|▋         | 26/391 [00:01<00:23, 15.44it/s]
Epoch 0 train | loss = 2.151340, acc = 0.1751:   7%|▋         | 26/391 [00:01<00:23, 15.44it/s]
Epoch 0 train | loss = 2.148308, acc = 0.1749:   7%|▋         | 26/391 [00:01<00:23, 15.44it/s]
Epoch 0 train | loss = 2.148308, acc = 0.1749:   7%|▋         | 28/391 [00:01<00:23, 15.49it/s]
Epoch 0 train | loss = 2.146481, acc = 0.1765:   7%|▋         | 28/391 [00:01<00:23, 15.49it/s]
Epoch 0 train | loss = 2.146221, acc = 0.1771:   7%|▋         | 28/391 [00:01<00:23, 15.49it/s]
Epoch 0 train | loss = 2.146221, acc = 0.1771:   8%|▊         | 30/391 [00:01<00:23, 15.42it/s]
Epoch 0 train | loss = 2.142307, acc = 0.1787:   8%|▊         | 30/391 [00:02<00:23, 15.42it/s]
Epoch 0 train | loss = 2.141160, acc = 0.1816:   8%|▊         | 30/391 [00:02<00:23, 15.42it/s]
Epoch 0 train | loss = 2.141160, acc = 0.1816:   8%|▊         | 32/391 [00:02<00:23, 15.45it/s]
Epoch 0 train | loss = 2.137366, acc = 0.1835:   8%|▊         | 32/391 [00:02<00:23, 15.45it/s]
Epoch 0 train | loss = 2.135737, acc = 0.1831:   8%|▊         | 32/391 [00:02<00:23, 15.45it/s]
Epoch 0 train | loss = 2.135737, acc = 0.1831:   9%|▊         | 34/391 [00:02<00:22, 15.58it/s]
Epoch 0 train | loss = 2.132801, acc = 0.1846:   9%|▊         | 34/391 [00:02<00:22, 15.58it/s]
Epoch 0 train | loss = 2.130046, acc = 0.1860:   9%|▊         | 34/391 [00:02<00:22, 15.58it/s]
Epoch 0 train | loss = 2.130046, acc = 0.1860:   9%|▉         | 36/391 [00:02<00:22, 15.52it/s]
Epoch 0 train | loss = 2.126405, acc = 0.1873:   9%|▉         | 36/391 [00:02<00:22, 15.52it/s]
Epoch 0 train | loss = 2.124276, acc = 0.1881:   9%|▉         | 36/391 [00:02<00:22, 15.52it/s]
Epoch 0 train | loss = 2.124276, acc = 0.1881:  10%|▉         | 38/391 [00:02<00:22, 15.63it/s]
Epoch 0 train | loss = 2.125693, acc = 0.1883:  10%|▉         | 38/391 [00:02<00:22, 15.63it/s]
Epoch 0 train | loss = 2.126334, acc = 0.1887:  10%|▉         | 38/391 [00:02<00:22, 15.63it/s]
Epoch 0 train | loss = 2.126334, acc = 0.1887:  10%|█         | 40/391 [00:02<00:22, 15.53it/s]
Epoch 0 train | loss = 2.122678, acc = 0.1898:  10%|█         | 40/391 [00:02<00:22, 15.53it/s]
Epoch 0 train | loss = 2.119911, acc = 0.1908:  10%|█         | 40/391 [00:02<00:22, 15.53it/s]
Epoch 0 train | loss = 2.119911, acc = 0.1908:  11%|█         | 42/391 [00:02<00:22, 15.62it/s]
Epoch 0 train | loss = 2.118366, acc = 0.1908:  11%|█         | 42/391 [00:02<00:22, 15.62it/s]
Epoch 0 train | loss = 2.116113, acc = 0.1903:  11%|█         | 42/391 [00:02<00:22, 15.62it/s]
Epoch 0 train | loss = 2.116113, acc = 0.1903:  11%|█▏        | 44/391 [00:02<00:22, 15.57it/s]
Epoch 0 train | loss = 2.110896, acc = 0.1925:  11%|█▏        | 44/391 [00:02<00:22, 15.57it/s]
Epoch 0 train | loss = 2.110062, acc = 0.1917:  11%|█▏        | 44/391 [00:02<00:22, 15.57it/s]
Epoch 0 train | loss = 2.110062, acc = 0.1917:  12%|█▏        | 46/391 [00:02<00:22, 15.52it/s]
Epoch 0 train | loss = 2.106698, acc = 0.1910:  12%|█▏        | 46/391 [00:03<00:22, 15.52it/s]
Epoch 0 train | loss = 2.103310, acc = 0.1909:  12%|█▏        | 46/391 [00:03<00:22, 15.52it/s]
Epoch 0 train | loss = 2.103310, acc = 0.1909:  12%|█▏        | 48/391 [00:03<00:22, 15.39it/s]
Epoch 0 train | loss = 2.100494, acc = 0.1923:  12%|█▏        | 48/391 [00:03<00:22, 15.39it/s]
Epoch 0 train | loss = 2.098733, acc = 0.1933:  12%|█▏        | 48/391 [00:03<00:22, 15.39it/s]
Epoch 0 train | loss = 2.098733, acc = 0.1933:  13%|█▎        | 50/391 [00:03<00:21, 15.52it/s]
Epoch 0 train | loss = 2.100452, acc = 0.1929:  13%|█▎        | 50/391 [00:03<00:21, 15.52it/s]
Epoch 0 train | loss = 2.098893, acc = 0.1937:  13%|█▎        | 50/391 [00:03<00:21, 15.52it/s]
Epoch 0 train | loss = 2.098893, acc = 0.1937:  13%|█▎        | 52/391 [00:03<00:21, 15.56it/s]
Epoch 0 train | loss = 2.096343, acc = 0.1947:  13%|█▎        | 52/391 [00:03<00:21, 15.56it/s]
Epoch 0 train | loss = 2.095444, acc = 0.1956:  13%|█▎        | 52/391 [00:03<00:21, 15.56it/s]
Epoch 0 train | loss = 2.095444, acc = 0.1956:  14%|█▍        | 54/391 [00:03<00:21, 15.61it/s]
Epoch 0 train | loss = 2.093745, acc = 0.1964:  14%|█▍        | 54/391 [00:03<00:21, 15.61it/s]
