INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "hi_from_fileobserver"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.302111, acc = 0.1250:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   1%|          | 2/391 [00:00<00:24, 15.70it/s]
Epoch 0 train | loss = 2.300720, acc = 0.1094:   1%|          | 2/391 [00:00<00:24, 15.70it/s]
Epoch 0 train | loss = 2.301773, acc = 0.1133:   1%|          | 2/391 [00:00<00:24, 15.70it/s]
Epoch 0 train | loss = 2.301414, acc = 0.1187:   1%|          | 2/391 [00:00<00:24, 15.70it/s]
Epoch 0 train | loss = 2.301414, acc = 0.1187:   1%|▏         | 5/391 [00:00<00:21, 17.69it/s]
Epoch 0 train | loss = 2.300905, acc = 0.1198:   1%|▏         | 5/391 [00:00<00:21, 17.69it/s]
Epoch 0 train | loss = 2.301013, acc = 0.1172:   1%|▏         | 5/391 [00:00<00:21, 17.69it/s]
Epoch 0 train | loss = 2.301073, acc = 0.1162:   1%|▏         | 5/391 [00:00<00:21, 17.69it/s]
Epoch 0 train | loss = 2.301073, acc = 0.1162:   2%|▏         | 8/391 [00:00<00:19, 19.73it/s]
Epoch 0 train | loss = 2.301755, acc = 0.1094:   2%|▏         | 8/391 [00:00<00:19, 19.73it/s]
Epoch 0 train | loss = 2.301946, acc = 0.1070:   2%|▏         | 8/391 [00:00<00:19, 19.73it/s]
Epoch 0 train | loss = 2.300782, acc = 0.1158:   2%|▏         | 8/391 [00:00<00:19, 19.73it/s]
Epoch 0 train | loss = 2.300868, acc = 0.1139:   2%|▏         | 8/391 [00:00<00:19, 19.73it/s]
Epoch 0 train | loss = 2.300868, acc = 0.1139:   3%|▎         | 12/391 [00:00<00:17, 22.22it/s]
Epoch 0 train | loss = 2.301270, acc = 0.1130:   3%|▎         | 12/391 [00:00<00:17, 22.22it/s]
Epoch 0 train | loss = 2.301385, acc = 0.1122:   3%|▎         | 12/391 [00:00<00:17, 22.22it/s]
Epoch 0 train | loss = 2.301563, acc = 0.1099:   3%|▎         | 12/391 [00:00<00:17, 22.22it/s]
